2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - use cpu
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - use device cpu
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - gt_file_or_folder: /media/ubuntu/Seagate Expansion Drive/IACTA/CellPress1338/external/A/ane_seg
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - pred_file_or_folder: /home/ubuntu/codes/MyMedicalZoo/output/ExA/refined
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - mask or probability distribution: mask
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - Begin to scan gt_folder_or_file /media/ubuntu/Seagate Expansion Drive/IACTA/CellPress1338/external/A/ane_seg...
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - Begin to scan pred_folder_or_file /home/ubuntu/codes/MyMedicalZoo/output/ExA/refined...
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - instance number: 69. start evaluating...
2022-02-15 19:42:05 [MainThread] INFO [StudyEvaluater] - (1 in 69) ExtA0001:	ap: 0.5320	auc: 0.6155	precision: 0.9485	recall: 0.2310	sensitivity: 0.2310	specificity: 1.0000	dsc: 0.3715	hd95: 3.8406	tp: 258	fp: 14	fn: 859	tn: 90998809	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-15 20:01:55 [MainThread] INFO [StudyEvaluater] - (2 in 69) ExtA0002:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 149.3660	tp: 0	fp: 3803	fn: 2238	tn: 87287911	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
2022-02-15 20:22:57 [MainThread] INFO [StudyEvaluater] - (3 in 69) ExtA0003:	ap: 0.2024	auc: 0.8501	precision: 0.0546	recall: 0.7004	sensitivity: 0.7004	specificity: 0.9999	dsc: 0.1013	hd95: 142.0655	tp: 568	fp: 9833	fn: 243	tn: 94361196	per_target_precision: 0.2000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 4	per_target_fn: 0
2022-02-15 20:42:20 [MainThread] INFO [StudyEvaluater] - (4 in 69) ExtA0004:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 4954	tn: 87288998	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-15 20:57:31 [MainThread] INFO [StudyEvaluater] - (5 in 69) ExtA0005:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 77	fn: 0	tn: 77834867	per_target_precision: 0.0000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 0
2022-02-15 21:33:50 [MainThread] INFO [StudyEvaluater] - (6 in 69) ExtA0006:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 257.6939	tp: 0	fp: 1302	fn: 1274	tn: 170235349	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 3	per_target_fn: 1
2022-02-15 21:52:19 [MainThread] INFO [StudyEvaluater] - (7 in 69) ExtA0007:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 89	fn: 0	tn: 97549627	per_target_precision: 0.0000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 2	per_target_fn: 0
2022-02-15 22:22:51 [MainThread] INFO [StudyEvaluater] - (8 in 69) ExtA0008:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 160	fn: 0	tn: 154542665	per_target_precision: 0.0000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 2	per_target_fn: 0
2022-02-15 22:44:35 [MainThread] INFO [StudyEvaluater] - (9 in 69) ExtA0010:	ap: 0.5198	auc: 0.7101	precision: 0.8295	recall: 0.4203	sensitivity: 0.4203	specificity: 1.0000	dsc: 0.5579	hd95: 72.5112	tp: 1946	fp: 400	fn: 2684	tn: 128707674	per_target_precision: 0.2000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 4	per_target_fn: 0
2022-02-15 23:33:24 [MainThread] INFO [StudyEvaluater] - (10 in 69) ExtA0011:	ap: 0.0320	auc: 0.5431	precision: 0.0208	recall: 0.0862	sensitivity: 0.0862	specificity: 1.0000	dsc: 0.0336	hd95: 248.0458	tp: 212	fp: 9961	fn: 2247	tn: 252035280	per_target_precision: 0.2000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 4	per_target_fn: 0
2022-02-15 23:50:53 [MainThread] INFO [StudyEvaluater] - (11 in 69) ExtA0012:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 544	tn: 121372128	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
