2022-02-11 15:25:43 [MainThread] INFO [StudyEvaluater] - use device 0
2022-02-11 15:25:43 [MainThread] INFO [StudyEvaluater] - gt_file_or_folder: /mnt/f/data/xianjin_data/ane_seg
2022-02-11 15:25:43 [MainThread] INFO [StudyEvaluater] - pred_file_or_folder: /home/ubuntu/codes/MyMedicalZoo/output/XJTsN/refined
2022-02-11 15:25:43 [MainThread] INFO [StudyEvaluater] - mask or probability distribution: mask
2022-02-11 15:25:43 [MainThread] INFO [StudyEvaluater] - Begin to scan gt_folder_or_file /mnt/f/data/xianjin_data/ane_seg...
2022-02-11 15:25:43 [MainThread] INFO [StudyEvaluater] - Begin to scan pred_folder_or_file /home/ubuntu/codes/MyMedicalZoo/output/XJTsN/refined...
2022-02-11 15:25:44 [MainThread] INFO [StudyEvaluater] - instance number: 563. start evaluating...
2022-02-11 15:26:07 [MainThread] INFO [StudyEvaluater] - (1 in 563) XJTr0000:	ap: 0.4933	auc: 0.6399	precision: 0.8468	recall: 0.2798	sensitivity: 0.2798	specificity: 1.0000	dsc: 0.4206	hd95: 17.7465	tp: 785	fp: 142	fn: 2021	tn: 46134396	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-11 15:26:32 [MainThread] INFO [StudyEvaluater] - (2 in 563) XJTr0001:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 0.9999	dsc: 0.0000	hd95: 70.9787	tp: 0	fp: 2928	fn: 1837	tn: 58191203	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 3	per_target_fn: 1
2022-02-11 15:27:01 [MainThread] INFO [StudyEvaluater] - (3 in 563) XJTr0002:	ap: 0.6324	auc: 0.8696	precision: 0.8952	recall: 0.7391	sensitivity: 0.7391	specificity: 1.0000	dsc: 0.8097	hd95: 3.3541	tp: 8900	fp: 1042	fn: 3141	tn: 62115045	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-11 15:27:32 [MainThread] INFO [StudyEvaluater] - (4 in 563) XJTr0003:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 52.1133	tp: 0	fp: 484	fn: 414	tn: 69467262	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
2022-02-11 15:27:40 [MainThread] INFO [StudyEvaluater] - (5 in 563) XJTr0004:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 172	tn: 69467988	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-11 15:27:48 [MainThread] INFO [StudyEvaluater] - (6 in 563) XJTr0005:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 339	tn: 69467821	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-11 15:28:19 [MainThread] INFO [StudyEvaluater] - (7 in 563) XJTr0006:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 97.5858	tp: 0	fp: 234	fn: 99	tn: 69467827	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
2022-02-11 15:28:50 [MainThread] INFO [StudyEvaluater] - (8 in 563) XJTr0007:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 62.1877	tp: 0	fp: 117	fn: 158	tn: 69467885	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
2022-02-11 15:29:21 [MainThread] INFO [StudyEvaluater] - (9 in 563) XJTr0008:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 76.9573	tp: 0	fp: 43	fn: 338	tn: 69467779	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
2022-02-11 15:29:52 [MainThread] INFO [StudyEvaluater] - (10 in 563) XJTr0009:	ap: 0.6243	auc: 0.8333	precision: 0.9152	recall: 0.6667	sensitivity: 0.6667	specificity: 1.0000	dsc: 0.7714	hd95: 2.6926	tp: 2936	fp: 272	fn: 1468	tn: 69463484	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-11 15:30:23 [MainThread] INFO [StudyEvaluater] - (11 in 563) XJTr0010:	ap: 0.2644	auc: 0.7328	precision: 0.2960	recall: 0.4657	sensitivity: 0.4657	specificity: 1.0000	dsc: 0.3620	hd95: 47.0558	tp: 489	fp: 1163	fn: 561	tn: 69465947	per_target_precision: 0.2500	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 3	per_target_fn: 0
2022-02-11 15:30:54 [MainThread] INFO [StudyEvaluater] - (12 in 563) XJTr0011:	ap: 0.5485	auc: 0.6988	precision: 0.8983	recall: 0.3976	sensitivity: 0.3976	specificity: 1.0000	dsc: 0.5512	hd95: 4.0311	tp: 1289	fp: 146	fn: 1953	tn: 69464772	per_target_precision: 1.0000	per_target_recall: 0.5000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 1
